name,description,styleUrl,longitude,latitude,altitude,LineString/tessellate,LineString/coordinates
NBO - NRBIKEN1,icolo.io NBO1 - Nairobi (Karen)<br><br>KIXP Nairobi - 200G<br>LINX Nairobi - 200G,#icon-1609-0288D1,36.748969,-1.349897,0,,
JNB - JHNGZAF1,Teraco Johannesburg Campus<br><br>NAPAfrica IX - 200G<br>JINX - 200G,#icon-1609-0097A7,28.197517,-26.137957,0,,
MEL - MLBEAUS1,Equinix ME1/ME2 - Melbourne<br><br>MegaIX Melbourne - 200G<br>VIC-IX - 200G,#icon-1609-0288D1,144.9156203,-37.8235284,0,,
CHC - CHRHNZL1,Spark Christchurch Exchange,#icon-1609-0288D1,172.635461,-43.531563,0,,
MCT - MSCTOM1,Equinix MC1 - Muscat,#icon-1609-0288D1,57.7940688,23.726849,0,,
BNE - BRSEAUS1,NEXTDC B1 - Brisbane<br><br>EdgeIX Brisbane - 200G<br>MegaIX Brisbane - 200G,#icon-1609-0288D1,153.033214,-27.4538615,0,,
GUA - GTMYGTM1,KIO GTM1 - Guatemala<br><br>PIT Guatemala City - 2x 200G,#icon-1609-0288D1,-90.544525,14.655149,0,,
MTR - MNTLCAN1,Cologix MTL3 - Montreal<br><br>QIX Montreal - 2x 200G,#icon-1609-0097A7,-73.5704739,45.4972023,0,,
SUB - SRBAIND2,Omadata Data Center - Surabaya,#icon-1609-0288D1,112.74282,-7.273023,0,,
BSB - BRSABRA1(?),(unknown facility - Brasilia)<br><br>IX.br (PTT.br) Brasilia - 2x 200G,#icon-1609-0288D1,-47.8452446,-15.8292545,0,,
DAC - DHKABGD1,"Felicity IDC - Dhaka (probable)<br><br>BDIX - 2x 100G - 103.151.197.11, 103.151.197.12<br>AS10075 Fiber@Home Global Ltd - 103.7.248.49<br>AS58717 Summit Comm Ltd - 43.245.140.134",#icon-1609-0288D1,90.2360319,24.0649646,0,,
BOM - MMBIIND1,Equinix MB2 - Mumbai<br><br>DE-CIX Mumbai - 1x 200G<br>Extreme-IX Mumbai - 1x 200G,#icon-1609-F9A825,72.901065,19.110795,0,,
